2021-03-04T08:29:50.034Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:29:50.035Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:30:51.885Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:30:51.885Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:31:26.216Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:31:26.216Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:31:43.955Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:31:43.956Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:32:06.175Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:32:06.175Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:32:54.734Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:32:54.734Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:32:59.380Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:32:59.380Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:36:52.754Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:36:52.755Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:36:54.873Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:36:54.873Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:37:36.235Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:37:36.235Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:38:51.164Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:38:51.164Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:38:55.945Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:38:55.945Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:42:51.232Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:42:51.232Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T08:56:06.355Z [debug] [extension] Deactivate CMakeTools
no kits defined
2021-02-24T06:19:34.847Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:19:36.079Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:19:36.079Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:19:40.843Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:19:40.843Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:19:43.276Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:19:43.276Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:19:44.320Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:19:44.320Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:19:47.102Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:19:47.102Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:19:51.680Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:19:51.680Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:20:06.266Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:20:06.266Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:20:09.727Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:20:09.728Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:20:18.038Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:20:18.038Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:20:21.515Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:20:21.515Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:20:25.179Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:20:25.179Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:20:26.659Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:20:26.659Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:20:45.049Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:20:45.049Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:20:50.048Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:20:50.048Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:05.870Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:05.871Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:23.276Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:23.276Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:24.449Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:24.449Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:27.508Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:27.508Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:34.856Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:34.857Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:37.889Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:37.889Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:40.962Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:40.962Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:44.267Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:44.267Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:47.847Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:47.848Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:50.833Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:50.833Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:53.692Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:53.693Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:56.402Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:56.402Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:59.920Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:34:59.920Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:03.653Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:03.653Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:06.397Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:06.397Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:09.141Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:09.141Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:11.692Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:11.692Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:14.254Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:14.254Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:16.955Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:16.955Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:19.788Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:19.788Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:33.462Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:33.462Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:36.318Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:36.318Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:38.700Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:38.701Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:42.118Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:42.119Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:45.038Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:45.038Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:47.465Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:47.465Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:50.458Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:50.458Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:53.596Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:53.596Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:57.168Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:57.168Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:59.958Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:35:59.958Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:36:03.786Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:36:03.786Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:36:07.249Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:36:07.249Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:36:10.066Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:36:10.067Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:36:12.928Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:36:12.928Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:36:15.570Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:36:15.570Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:36:18.758Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T06:36:18.759Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T09:01:03.774Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T09:01:03.774Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T09:01:13.738Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T09:01:13.739Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T09:06:17.345Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T09:06:17.345Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T09:06:20.194Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T09:06:20.194Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T09:06:21.461Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T09:06:21.461Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T09:07:29.768Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T09:07:29.769Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T09:07:33.348Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T09:07:33.349Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T09:07:36.148Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T09:07:36.149Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T09:07:38.779Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T09:07:38.779Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T10:06:43.347Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T10:06:43.347Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T10:08:39.228Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T10:08:39.228Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T10:08:40.499Z [debug] [main] Not starting CMake driver: no kits defined
2021-02-24T10:08:40.499Z [debug] [main] Not starting CMake driver: no kits defined
