[2021-01-22 10:03:28.593] [exthost] [info] extension host started
[2021-01-22 10:03:28.804] [exthost] [info] ExtensionService#_doActivateExtension ms-vscode.cpptools {"startup":false,"extensionId":{"value":"ms-vscode.cpptools","_lower":"ms-vscode.cpptools"},"activationEvent":"onLanguage:c"}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.728] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.729] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.729] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.729] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.729] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.729] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.729] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.729] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.729] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.729] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.729] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.729] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.729] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.729] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.729] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.729] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.918] [exthost] [warning] [Decorations] CAPPING events from decorations provider vscode.git 511
[2021-01-22 10:03:31.488] [exthost] [info] eager extensions activated
[2021-01-22 10:07:28.704] [exthost] [warning] [Decorations] CAPPING events from decorations provider vscode.git 519
[2021-01-22 10:07:29.973] [exthost] [warning] [Decorations] CAPPING events from decorations provider vscode.git 519
[2021-01-22 10:29:34.143] [exthost] [warning] [Decorations] CAPPING events from decorations provider vscode.git 519
[2021-01-22 10:29:35.410] [exthost] [warning] [Decorations] CAPPING events from decorations provider vscode.git 519
[2021-01-22 10:30:38.074] [exthost] [warning] [Decorations] CAPPING events from decorations provider vscode.git 519
[2021-01-22 10:30:43.188] [exthost] [warning] [Decorations] CAPPING events from decorations provider vscode.git 519
[2021-01-22 10:30:48.293] [exthost] [warning] [Decorations] CAPPING events from decorations provider vscode.git 519
[2021-01-22 10:30:53.394] [exthost] [warning] [Decorations] CAPPING events from decorations provider vscode.git 519
[2021-01-22 10:30:58.499] [exthost] [warning] [Decorations] CAPPING events from decorations provider vscode.git 519
[2021-01-22 10:31:03.605] [exthost] [warning] [Decorations] CAPPING events from decorations provider vscode.git 519
[2021-01-22 10:31:08.710] [exthost] [warning] [Decorations] CAPPING events from decorations provider vscode.git 519
[2021-01-22 10:31:13.814] [exthost] [warning] [Decorations] CAPPING events from decorations provider vscode.git 519
[2021-01-22 10:31:18.918] [exthost] [warning] [Decorations] CAPPING events from decorations provider vscode.git 519
[2021-01-22 10:31:24.023] [exthost] [warning] [Decorations] CAPPING events from decorations provider vscode.git 519
[2021-01-22 10:31:29.137] [exthost] [warning] [Decorations] CAPPING events from decorations provider vscode.git 519
